8E         ADC A,(HL)
DD8E d     ADC A,(IX+d)
FD8E d     ADC A,(IY+d)
8F         ADC A,A
88         ADC A,B
89         ADC A,C
8A         ADC A,D
8B         ADC A,E
8C         ADC A,H
DD8C       ADC A,IXh
DD8D       ADC A,IXl
FD8C       ADC A,IYh
FD8D       ADC A,IYl
8D         ADC A,L
CE n       ADC A,n
ED4A       ADC HL,BC
ED5A       ADC HL,DE
ED6A       ADC HL,HL
ED7A       ADC HL,SP
86         ADD A,(HL)
DD86 d     ADD A,(IX+d)
FD86 d     ADD A,(IY+d)
87         ADD A,A
80         ADD A,B
81         ADD A,C
82         ADD A,D
83         ADD A,E
84         ADD A,H
DD84       ADD A,IXh
DD85       ADD A,IXl
FD84       ADD A,IYh
FD85       ADD A,IYl
85         ADD A,L
C6 n       ADD A,n
09         ADD HL,BC
19         ADD HL,DE
29         ADD HL,HL
39         ADD HL,SP
DD09       ADD IX,BC
DD19       ADD IX,DE
DD29       ADD IX,IX
DD39       ADD IX,SP
FD09       ADD IY,BC
FD19       ADD IY,DE
FD29       ADD IY,IY
FD39       ADD IY,SP
A6         AND (HL)
DDA6 d     AND (IX+d)
FDA6 d     AND (IY+d)
A7         AND A
A0         AND B
A1         AND C
A2         AND D
A3         AND E
A4         AND H
DDA4       AND IXh
DDA5       AND IXl
FDA4       AND IYh
FDA5       AND IYl
A5         AND L
E6 n       AND n
CB46       BIT 0,(HL)
DDCB d 46  BIT 0,(IX+d)
DDCB d 41  BIT 0,(IX+d)
DDCB d 47  BIT 0,(IX+d)
DDCB d 42  BIT 0,(IX+d)
DDCB d 43  BIT 0,(IX+d)
DDCB d 44  BIT 0,(IX+d)
DDCB d 40  BIT 0,(IX+d)
DDCB d 45  BIT 0,(IX+d)
FDCB d 46  BIT 0,(IY+d)
FDCB d 40  BIT 0,(IY+d)
FDCB d 47  BIT 0,(IY+d)
FDCB d 43  BIT 0,(IY+d)
FDCB d 41  BIT 0,(IY+d)
FDCB d 45  BIT 0,(IY+d)
FDCB d 42  BIT 0,(IY+d)
FDCB d 44  BIT 0,(IY+d)
CB47       BIT 0,A
CB40       BIT 0,B
CB41       BIT 0,C
CB42       BIT 0,D
CB43       BIT 0,E
CB44       BIT 0,H
CB45       BIT 0,L
CB4E       BIT 1,(HL)
DDCB d 4E  BIT 1,(IX+d)
DDCB d 4B  BIT 1,(IX+d)
DDCB d 4F  BIT 1,(IX+d)
DDCB d 4A  BIT 1,(IX+d)
DDCB d 4C  BIT 1,(IX+d)
DDCB d 49  BIT 1,(IX+d)
DDCB d 48  BIT 1,(IX+d)
DDCB d 4D  BIT 1,(IX+d)
FDCB d 4E  BIT 1,(IY+d)
FDCB d 48  BIT 1,(IY+d)
FDCB d 4F  BIT 1,(IY+d)
FDCB d 4D  BIT 1,(IY+d)
FDCB d 4C  BIT 1,(IY+d)
FDCB d 4B  BIT 1,(IY+d)
FDCB d 4A  BIT 1,(IY+d)
FDCB d 49  BIT 1,(IY+d)
CB4F       BIT 1,A
CB48       BIT 1,B
CB49       BIT 1,C
CB4A       BIT 1,D
CB4B       BIT 1,E
CB4C       BIT 1,H
CB4D       BIT 1,L
CB56       BIT 2,(HL)
DDCB d 56  BIT 2,(IX+d)
DDCB d 53  BIT 2,(IX+d)
DDCB d 52  BIT 2,(IX+d)
DDCB d 51  BIT 2,(IX+d)
DDCB d 54  BIT 2,(IX+d)
DDCB d 55  BIT 2,(IX+d)
DDCB d 57  BIT 2,(IX+d)
DDCB d 50  BIT 2,(IX+d)
FDCB d 56  BIT 2,(IY+d)
FDCB d 53  BIT 2,(IY+d)
FDCB d 57  BIT 2,(IY+d)
FDCB d 55  BIT 2,(IY+d)
FDCB d 50  BIT 2,(IY+d)
FDCB d 51  BIT 2,(IY+d)
FDCB d 52  BIT 2,(IY+d)
FDCB d 54  BIT 2,(IY+d)
CB57       BIT 2,A
CB50       BIT 2,B
CB51       BIT 2,C
CB52       BIT 2,D
CB53       BIT 2,E
CB54       BIT 2,H
CB55       BIT 2,L
CB5E       BIT 3,(HL)
DDCB d 5E  BIT 3,(IX+d)
DDCB d 58  BIT 3,(IX+d)
DDCB d 5A  BIT 3,(IX+d)
DDCB d 59  BIT 3,(IX+d)
DDCB d 5B  BIT 3,(IX+d)
DDCB d 5F  BIT 3,(IX+d)
DDCB d 5D  BIT 3,(IX+d)
DDCB d 5C  BIT 3,(IX+d)
FDCB d 5E  BIT 3,(IY+d)
FDCB d 5B  BIT 3,(IY+d)
FDCB d 5A  BIT 3,(IY+d)
FDCB d 5F  BIT 3,(IY+d)
FDCB d 58  BIT 3,(IY+d)
FDCB d 5C  BIT 3,(IY+d)
FDCB d 59  BIT 3,(IY+d)
FDCB d 5D  BIT 3,(IY+d)
CB5F       BIT 3,A
CB58       BIT 3,B
CB59       BIT 3,C
CB5A       BIT 3,D
CB5B       BIT 3,E
CB5C       BIT 3,H
CB5D       BIT 3,L
CB66       BIT 4,(HL)
DDCB d 66  BIT 4,(IX+d)
DDCB d 60  BIT 4,(IX+d)
DDCB d 62  BIT 4,(IX+d)
DDCB d 61  BIT 4,(IX+d)
DDCB d 65  BIT 4,(IX+d)
DDCB d 63  BIT 4,(IX+d)
DDCB d 64  BIT 4,(IX+d)
DDCB d 67  BIT 4,(IX+d)
FDCB d 66  BIT 4,(IY+d)
FDCB d 60  BIT 4,(IY+d)
FDCB d 64  BIT 4,(IY+d)
FDCB d 62  BIT 4,(IY+d)
FDCB d 65  BIT 4,(IY+d)
FDCB d 61  BIT 4,(IY+d)
FDCB d 63  BIT 4,(IY+d)
FDCB d 67  BIT 4,(IY+d)
CB67       BIT 4,A
CB60       BIT 4,B
CB61       BIT 4,C
CB62       BIT 4,D
CB63       BIT 4,E
CB64       BIT 4,H
CB65       BIT 4,L
CB6E       BIT 5,(HL)
DDCB d 6E  BIT 5,(IX+d)
DDCB d 69  BIT 5,(IX+d)
DDCB d 6D  BIT 5,(IX+d)
DDCB d 6F  BIT 5,(IX+d)
DDCB d 68  BIT 5,(IX+d)
DDCB d 6C  BIT 5,(IX+d)
DDCB d 6B  BIT 5,(IX+d)
DDCB d 6A  BIT 5,(IX+d)
FDCB d 6E  BIT 5,(IY+d)
FDCB d 69  BIT 5,(IY+d)
FDCB d 68  BIT 5,(IY+d)
FDCB d 6D  BIT 5,(IY+d)
FDCB d 6A  BIT 5,(IY+d)
FDCB d 6F  BIT 5,(IY+d)
FDCB d 6B  BIT 5,(IY+d)
FDCB d 6C  BIT 5,(IY+d)
CB6F       BIT 5,A
CB68       BIT 5,B
CB69       BIT 5,C
CB6A       BIT 5,D
CB6B       BIT 5,E
CB6C       BIT 5,H
CB6D       BIT 5,L
CB76       BIT 6,(HL)
DDCB d 76  BIT 6,(IX+d)
DDCB d 77  BIT 6,(IX+d)
DDCB d 75  BIT 6,(IX+d)
DDCB d 74  BIT 6,(IX+d)
DDCB d 73  BIT 6,(IX+d)
DDCB d 71  BIT 6,(IX+d)
DDCB d 70  BIT 6,(IX+d)
DDCB d 72  BIT 6,(IX+d)
FDCB d 76  BIT 6,(IY+d)
FDCB d 73  BIT 6,(IY+d)
FDCB d 70  BIT 6,(IY+d)
FDCB d 75  BIT 6,(IY+d)
FDCB d 74  BIT 6,(IY+d)
FDCB d 72  BIT 6,(IY+d)
FDCB d 77  BIT 6,(IY+d)
FDCB d 71  BIT 6,(IY+d)
CB77       BIT 6,A
CB70       BIT 6,B
CB71       BIT 6,C
CB72       BIT 6,D
CB73       BIT 6,E
CB74       BIT 6,H
CB75       BIT 6,L
CB7E       BIT 7,(HL)
DDCB d 7E  BIT 7,(IX+d)
DDCB d 7B  BIT 7,(IX+d)
DDCB d 79  BIT 7,(IX+d)
DDCB d 7F  BIT 7,(IX+d)
DDCB d 7C  BIT 7,(IX+d)
DDCB d 7A  BIT 7,(IX+d)
DDCB d 7D  BIT 7,(IX+d)
DDCB d 78  BIT 7,(IX+d)
FDCB d 7E  BIT 7,(IY+d)
FDCB d 78  BIT 7,(IY+d)
FDCB d 7A  BIT 7,(IY+d)
FDCB d 7F  BIT 7,(IY+d)
FDCB d 7C  BIT 7,(IY+d)
FDCB d 7B  BIT 7,(IY+d)
FDCB d 79  BIT 7,(IY+d)
FDCB d 7D  BIT 7,(IY+d)
CB7F       BIT 7,A
CB78       BIT 7,B
CB79       BIT 7,C
CB7A       BIT 7,D
CB7B       BIT 7,E
CB7C       BIT 7,H
CB7D       BIT 7,L
CD nn      CALL (nn)
DC nn      CALL C,(nn)
FC nn      CALL M,(nn)
D4 nn      CALL NC,(nn)
C4 nn      CALL NZ,(nn)
F4 nn      CALL P,(nn)
EC nn      CALL PE,(nn)
E4 nn      CALL PO,(nn)
CC nn      CALL Z,(nn)
3F         CCF
BE         CP (HL)
DDBE d     CP (IX+d)
FDBE d     CP (IY+d)
BF         CP A
B8         CP B
B9         CP C
BA         CP D
BB         CP E
BC         CP H
DDBC       CP IXh
DDBD       CP IXl
FDBC       CP IYh
FDBD       CP IYl
BD         CP L
FE n       CP n
EDA9       CPD
EDB9       CPDR
EDA1       CPI
EDB1       CPIR
2F         CPL
27         DAA
35         DEC (HL)
DD35 d     DEC (IX+d)
FD35 d     DEC (IY+d)
3D         DEC A
05         DEC B
0B         DEC BC
0D         DEC C
15         DEC D
1B         DEC DE
1D         DEC E
25         DEC H
2B         DEC HL
DD2B       DEC IX
DD25       DEC IXh
DD2D       DEC IXl
FD2B       DEC IY
FD25       DEC IYh
FD2D       DEC IYl
2D         DEC L
3B         DEC SP
F3         DI
10 e       DJNZ (PC+e)
FB         EI
E3         EX (SP),HL
DDE3       EX (SP),IX
FDE3       EX (SP),IY
08         EX AF,AF'
EB         EX DE,HL
D9         EXX
76         HALT
ED46       IM 0
ED6E       IM 0
ED4E       IM 0
ED66       IM 0
ED56       IM 1
ED76       IM 1
ED5E       IM 2
ED7E       IM 2
ED78       IN A,(C)
DB n       IN A,(n)
ED40       IN B,(C)
ED48       IN C,(C)
ED50       IN D,(C)
ED58       IN E,(C)
ED70       IN F,(C)
ED60       IN H,(C)
ED68       IN L,(C)
34         INC (HL)
DD34 d     INC (IX+d)
FD34 d     INC (IY+d)
3C         INC A
04         INC B
03         INC BC
0C         INC C
14         INC D
13         INC DE
1C         INC E
24         INC H
23         INC HL
DD23       INC IX
DD24       INC IXh
DD2C       INC IXl
FD23       INC IY
FD24       INC IYh
FD2C       INC IYl
2C         INC L
33         INC SP
EDAA       IND
EDBA       INDR
EDA2       INI
EDB2       INIR
E9         JP (HL)
DDE9       JP (IX)
FDE9       JP (IY)
C3 nn      JP (nn)
DA nn      JP C,(nn)
FA nn      JP M,(nn)
D2 nn      JP NC,(nn)
C2 nn      JP NZ,(nn)
F2 nn      JP P,(nn)
EA nn      JP PE,(nn)
E2 nn      JP PO,(nn)
CA nn      JP Z,(nn)
18 e       JR (PC+e)
38 e       JR C,(PC+e)
30 e       JR NC,(PC+e)
20 e       JR NZ,(PC+e)
28 e       JR Z,(PC+e)
02         LD (BC),A
12         LD (DE),A
77         LD (HL),A
70         LD (HL),B
71         LD (HL),C
72         LD (HL),D
73         LD (HL),E
74         LD (HL),H
75         LD (HL),L
36 n       LD (HL),n
DD77 d     LD (IX+d),A
DD70 d     LD (IX+d),B
DD71 d     LD (IX+d),C
DD72 d     LD (IX+d),D
DD73 d     LD (IX+d),E
DD74 d     LD (IX+d),H
DD75 d     LD (IX+d),L
DD36 d n   LD (IX+d),n
FD77 d     LD (IY+d),A
FD70 d     LD (IY+d),B
FD71 d     LD (IY+d),C
FD72 d     LD (IY+d),D
FD73 d     LD (IY+d),E
FD74 d     LD (IY+d),H
FD75 d     LD (IY+d),L
FD36 d n   LD (IY+d),n
32 nn      LD (nn),A
ED43 nn    LD (nn),BC
ED53 nn    LD (nn),DE
ED63 nn    LD (nn),HL
22 nn      LD (nn),HL
DD22 nn    LD (nn),IX
FD22 nn    LD (nn),IY
ED73 nn    LD (nn),SP
0A         LD A,(BC)
1A         LD A,(DE)
7E         LD A,(HL)
DD7E d     LD A,(IX+d)
FD7E d     LD A,(IY+d)
3A nn      LD A,(nn)
7F         LD A,A
78         LD A,B
79         LD A,C
7A         LD A,D
7B         LD A,E
7C         LD A,H
ED57       LD A,I
DD7C       LD A,IXh
DD7D       LD A,IXl
FD7C       LD A,IYh
FD7D       LD A,IYl
7D         LD A,L
3E n       LD A,n
ED5F       LD A,R
DDCB d 87  LD A,RES 0,(IX+d)
FDCB d 87  LD A,RES 0,(IY+d)
DDCB d 8F  LD A,RES 1,(IX+d)
FDCB d 8F  LD A,RES 1,(IY+d)
DDCB d 97  LD A,RES 2,(IX+d)
FDCB d 97  LD A,RES 2,(IY+d)
DDCB d 9F  LD A,RES 3,(IX+d)
FDCB d 9F  LD A,RES 3,(IY+d)
DDCB d A7  LD A,RES 4,(IX+d)
FDCB d A7  LD A,RES 4,(IY+d)
DDCB d AF  LD A,RES 5,(IX+d)
FDCB d AF  LD A,RES 5,(IY+d)
DDCB d B7  LD A,RES 6,(IX+d)
FDCB d B7  LD A,RES 6,(IY+d)
DDCB d BF  LD A,RES 7,(IX+d)
FDCB d BF  LD A,RES 7,(IY+d)
DDCB d 17  LD A,RL (IX+d)
FDCB d 17  LD A,RL (IY+d)
DDCB d 07  LD A,RLC (IX+d)
FDCB d 07  LD A,RLC (IY+d)
DDCB d 1F  LD A,RR (IX+d)
FDCB d 1F  LD A,RR (IY+d)
DDCB d 0F  LD A,RRC (IX+d)
FDCB d 0F  LD A,RRC (IY+d)
DDCB d C7  LD A,SET 0,(IX+d)
FDCB d C7  LD A,SET 0,(IY+d)
DDCB d CF  LD A,SET 1,(IX+d)
FDCB d CF  LD A,SET 1,(IY+d)
DDCB d D7  LD A,SET 2,(IX+d)
FDCB d D7  LD A,SET 2,(IY+d)
DDCB d DF  LD A,SET 3,(IX+d)
FDCB d DF  LD A,SET 3,(IY+d)
DDCB d E7  LD A,SET 4,(IX+d)
FDCB d E7  LD A,SET 4,(IY+d)
DDCB d EF  LD A,SET 5,(IX+d)
FDCB d EF  LD A,SET 5,(IY+d)
DDCB d F7  LD A,SET 6,(IX+d)
FDCB d F7  LD A,SET 6,(IY+d)
DDCB d FF  LD A,SET 7,(IX+d)
FDCB d FF  LD A,SET 7,(IY+d)
DDCB d 27  LD A,SLA (IX+d)
FDCB d 27  LD A,SLA (IY+d)
DDCB d 37  LD A,SLL (IX+d)
FDCB d 37  LD A,SLL (IY+d)
DDCB d 2F  LD A,SRA (IX+d)
FDCB d 2F  LD A,SRA (IY+d)
DDCB d 3F  LD A,SRL (IX+d)
FDCB d 3F  LD A,SRL (IY+d)
46         LD B,(HL)
DD46 d     LD B,(IX+d)
FD46 d     LD B,(IY+d)
47         LD B,A
40         LD B,B
41         LD B,C
42         LD B,D
43         LD B,E
44         LD B,H
DD44       LD B,IXh
DD45       LD B,IXl
FD44       LD B,IYh
FD45       LD B,IYl
45         LD B,L
06 n       LD B,n
DDCB d 80  LD B,RES 0,(IX+d)
FDCB d 80  LD B,RES 0,(IY+d)
DDCB d 88  LD B,RES 1,(IX+d)
FDCB d 88  LD B,RES 1,(IY+d)
DDCB d 90  LD B,RES 2,(IX+d)
FDCB d 90  LD B,RES 2,(IY+d)
DDCB d 98  LD B,RES 3,(IX+d)
FDCB d 98  LD B,RES 3,(IY+d)
DDCB d A0  LD B,RES 4,(IX+d)
FDCB d A0  LD B,RES 4,(IY+d)
DDCB d A8  LD B,RES 5,(IX+d)
FDCB d A8  LD B,RES 5,(IY+d)
DDCB d B0  LD B,RES 6,(IX+d)
FDCB d B0  LD B,RES 6,(IY+d)
DDCB d B8  LD B,RES 7,(IX+d)
FDCB d B8  LD B,RES 7,(IY+d)
DDCB d 10  LD B,RL (IX+d)
FDCB d 10  LD B,RL (IY+d)
DDCB d 00  LD B,RLC (IX+d)
FDCB d 00  LD B,RLC (IY+d)
DDCB d 18  LD B,RR (IX+d)
FDCB d 18  LD B,RR (IY+d)
DDCB d 08  LD B,RRC (IX+d)
FDCB d 08  LD B,RRC (IY+d)
DDCB d C0  LD B,SET 0,(IX+d)
FDCB d C0  LD B,SET 0,(IY+d)
DDCB d C8  LD B,SET 1,(IX+d)
FDCB d C8  LD B,SET 1,(IY+d)
DDCB d D0  LD B,SET 2,(IX+d)
FDCB d D0  LD B,SET 2,(IY+d)
DDCB d D8  LD B,SET 3,(IX+d)
FDCB d D8  LD B,SET 3,(IY+d)
DDCB d E0  LD B,SET 4,(IX+d)
FDCB d E0  LD B,SET 4,(IY+d)
DDCB d E8  LD B,SET 5,(IX+d)
FDCB d E8  LD B,SET 5,(IY+d)
DDCB d F0  LD B,SET 6,(IX+d)
FDCB d F0  LD B,SET 6,(IY+d)
DDCB d F8  LD B,SET 7,(IX+d)
FDCB d F8  LD B,SET 7,(IY+d)
DDCB d 20  LD B,SLA (IX+d)
FDCB d 20  LD B,SLA (IY+d)
DDCB d 30  LD B,SLL (IX+d)
FDCB d 30  LD B,SLL (IY+d)
DDCB d 28  LD B,SRA (IX+d)
FDCB d 28  LD B,SRA (IY+d)
DDCB d 38  LD B,SRL (IX+d)
FDCB d 38  LD B,SRL (IY+d)
ED4B nn    LD BC,(nn)
01 nn      LD BC,nn
4E         LD C,(HL)
DD4E d     LD C,(IX+d)
FD4E d     LD C,(IY+d)
4F         LD C,A
48         LD C,B
49         LD C,C
4A         LD C,D
4B         LD C,E
4C         LD C,H
DD4C       LD C,IXh
DD4D       LD C,IXl
FD4C       LD C,IYh
FD4D       LD C,IYl
4D         LD C,L
0E n       LD C,n
DDCB d 81  LD C,RES 0,(IX+d)
FDCB d 81  LD C,RES 0,(IY+d)
DDCB d 89  LD C,RES 1,(IX+d)
FDCB d 89  LD C,RES 1,(IY+d)
DDCB d 91  LD C,RES 2,(IX+d)
FDCB d 91  LD C,RES 2,(IY+d)
DDCB d 99  LD C,RES 3,(IX+d)
FDCB d 99  LD C,RES 3,(IY+d)
DDCB d A1  LD C,RES 4,(IX+d)
FDCB d A1  LD C,RES 4,(IY+d)
DDCB d A9  LD C,RES 5,(IX+d)
FDCB d A9  LD C,RES 5,(IY+d)
DDCB d B1  LD C,RES 6,(IX+d)
FDCB d B1  LD C,RES 6,(IY+d)
DDCB d B9  LD C,RES 7,(IX+d)
FDCB d B9  LD C,RES 7,(IY+d)
DDCB d 11  LD C,RL (IX+d)
FDCB d 11  LD C,RL (IY+d)
DDCB d 01  LD C,RLC (IX+d)
FDCB d 01  LD C,RLC (IY+d)
DDCB d 19  LD C,RR (IX+d)
FDCB d 19  LD C,RR (IY+d)
DDCB d 09  LD C,RRC (IX+d)
FDCB d 09  LD C,RRC (IY+d)
DDCB d C1  LD C,SET 0,(IX+d)
FDCB d C1  LD C,SET 0,(IY+d)
DDCB d C9  LD C,SET 1,(IX+d)
FDCB d C9  LD C,SET 1,(IY+d)
DDCB d D1  LD C,SET 2,(IX+d)
FDCB d D1  LD C,SET 2,(IY+d)
DDCB d D9  LD C,SET 3,(IX+d)
FDCB d D9  LD C,SET 3,(IY+d)
DDCB d E1  LD C,SET 4,(IX+d)
FDCB d E1  LD C,SET 4,(IY+d)
DDCB d E9  LD C,SET 5,(IX+d)
FDCB d E9  LD C,SET 5,(IY+d)
DDCB d F1  LD C,SET 6,(IX+d)
FDCB d F1  LD C,SET 6,(IY+d)
DDCB d F9  LD C,SET 7,(IX+d)
FDCB d F9  LD C,SET 7,(IY+d)
DDCB d 21  LD C,SLA (IX+d)
FDCB d 21  LD C,SLA (IY+d)
DDCB d 31  LD C,SLL (IX+d)
FDCB d 31  LD C,SLL (IY+d)
DDCB d 29  LD C,SRA (IX+d)
FDCB d 29  LD C,SRA (IY+d)
DDCB d 39  LD C,SRL (IX+d)
FDCB d 39  LD C,SRL (IY+d)
56         LD D,(HL)
DD56 d     LD D,(IX+d)
FD56 d     LD D,(IY+d)
57         LD D,A
50         LD D,B
51         LD D,C
52         LD D,D
53         LD D,E
54         LD D,H
DD54       LD D,IXh
DD55       LD D,IXl
FD54       LD D,IYh
FD55       LD D,IYl
55         LD D,L
16 n       LD D,n
DDCB d 82  LD D,RES 0,(IX+d)
FDCB d 82  LD D,RES 0,(IY+d)
DDCB d 8A  LD D,RES 1,(IX+d)
FDCB d 8A  LD D,RES 1,(IY+d)
DDCB d 92  LD D,RES 2,(IX+d)
FDCB d 92  LD D,RES 2,(IY+d)
DDCB d 9A  LD D,RES 3,(IX+d)
FDCB d 9A  LD D,RES 3,(IY+d)
DDCB d A2  LD D,RES 4,(IX+d)
FDCB d A2  LD D,RES 4,(IY+d)
DDCB d AA  LD D,RES 5,(IX+d)
FDCB d AA  LD D,RES 5,(IY+d)
DDCB d B2  LD D,RES 6,(IX+d)
FDCB d B2  LD D,RES 6,(IY+d)
DDCB d BA  LD D,RES 7,(IX+d)
FDCB d BA  LD D,RES 7,(IY+d)
